triviasCategoria,triviasSegmentos,triviasActividades,triviasPalabras,triviasMarcas,triviaMaxComp,trivianPrizes,triviaQuestionType,triviaQuestionQuantity,triviaChoiceQuantity,triviaRightChoicesQuantity,triviaNwWinner,triviaPremios,triviaPorcentaje,triviaSuscritos,triviasDesuscritos,valorUser,countViewInfoUser,nviewInfo
"[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",0.009473673713386742,0.03845798296918406,0.029630442547297988,0.010168542194210284,0.011424282299148578,0.015899075018722335,0.015479142578314852,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.42,0.007005190433951166,0.010160184960399951,0.043126423532395985,0.022288286120229026,0.03333068814558697
"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",0.018947347426773484,0.009614495742296015,0.029630442547297988,0.005084271097105142,0.03427284689744573,0.03179815003744467,0.030958285156629704,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.23,0.007672351427660801,0.013546913280533267,0.0,0.0,0.0
"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",0.047368368566933716,0.028843487226888048,0.029630442547297988,0.025421355485525713,0.03427284689744573,0.015899075018722335,0.010319428385543235,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.632,0.052705718503061154,0.027093826561066535,-0.014375474510798661,0.05200600094720106,0.07142290316911493
"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03789469485354697,0.03845798296918406,0.029630442547297988,0.015252813291315427,0.022848564598297157,0.03179815003744467,0.051597141927716174,"[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.28,0.018680507823869777,0.006773456640266634,-0.014375474510798661,0.002971771482697203,0.004761526877940995
"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0.009473673713386742,0.01922899148459203,0.029630442547297988,0.030505626582630854,0.011424282299148578,0.015899075018722335,0.04127771354217294,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0.22,0.0036693854654029916,0.003386728320133317,0.0,0.0,0.0
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0.018947347426773484,0.04807247871148008,0.029630442547297988,0.005084271097105142,0.03427284689744573,0.047697225056167004,0.04643742773494456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0.36,0.012008897886773427,0.028787190721133196,-0.014375474510798661,0.002971771482697203,0.004761526877940995
"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",0.009473673713386742,0.01922899148459203,0.04444566382094698,0.025421355485525713,0.011424282299148578,0.015899075018722335,0.02063885677108647,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.36,0.006004448943386713,0.013546913280533267,0.043126423532395985,0.014858857413486016,0.00952305375588199
"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",0.03789469485354697,0.009614495742296015,0.04444566382094698,0.005084271097105142,0.03427284689744573,0.047697225056167004,0.030958285156629704,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.93,0.06204597241499604,0.037254011521466485,0.014375474510798661,0.04457657224045805,0.023807634389704978
"[1, 1, 0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",0.018947347426773484,0.01922899148459203,0.029630442547297988,0.04575843987394628,0.04569712919659431,0.06359630007488934,0.04127771354217294,"[1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.85,0.02835434223265948,0.0,0.014375474510798661,0.007429428706743008,0.00952305375588199
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0.02842102114016023,0.028843487226888048,0.014815221273648994,0.025421355485525713,0.03427284689744573,0.03179815003744467,0.04643742773494456,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",0.32,0.016011863849031235,0.011853549120466609,0.0,0.0,0.0
"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 1]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.009473673713386742,0.009614495742296015,0.029630442547297988,0.005084271097105142,0.022848564598297157,0.03179815003744467,0.02063885677108647,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.24,0.004002965962257809,0.011853549120466609,0.014375474510798661,0.04457657224045805,0.014284580633822987
"[1, 0, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",0.018947347426773484,0.03845798296918406,0.014815221273648994,0.015252813291315427,0.04569712919659431,0.015899075018722335,0.025798570963858087,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0.04,0.0013343219874192697,0.02201373408086656,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0.018947347426773484,0.01922899148459203,0.014815221273648994,0.015252813291315427,0.022848564598297157,0.03179815003744467,0.025798570963858087,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.99,0.03302446918862693,0.0016933641600666584,0.057501898043194645,0.037147143533715045,0.00952305375588199
"[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0.018947347426773484,0.01922899148459203,0.014815221273648994,0.04575843987394628,0.011424282299148578,0.015899075018722335,0.005159714192771617,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.11,0.0036693854654029916,0.006773456640266634,-0.014375474510798661,0.04457657224045805,0.05237679565735095
"[0, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",0.047368368566933716,0.009614495742296015,0.029630442547297988,0.050842710971051426,0.03427284689744573,0.047697225056167004,0.02063885677108647,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.456,0.03802817664144919,0.013546913280533267,0.057501898043194645,0.037147143533715045,0.047615268779409956
