cineytelevision,culinario,culturageneral,deporte,infantil,juvenil,musica,personalidades,series,vidanocturna,adultos,adultosjovenes,hombres,jovenes,mayores,mujeres,ninos,publicogeneral,bailar,cocinar,deporte,hobby,leer,maquillarse,oirmusica,salir,salirconamigos,salirdecompras,tiempoenfamilia,verpeliculas,verseries,yoga,baseball,dc,disney,futbol,hbo,hobby,marvel,masterchef,musicaurbana,netflix,nickelodion,oscar,rock,adidas,avilaburguer,balu,cinex,contigo,disney,hp,lamega,nestle,netflix,nike,paramo,polar,puma,valmy,victormoreno,audífonos,avión,balón,bebida,bicicleta,camisa,camión,caramelo,carro,casa,copas,cámara,disco,galleta,gato,guitarra,hamburguesa,helado,laptop,libro,licuadora,moneda,monitor,monumento,máscara,perro,pesas,piscina,pizza,porcentaje,regalos,reloj,ruta,sombrilla,spa,spotify,spray,tablet,teléfono,ticket,timbre,tortadecumpleaños,triviaMaxComp,trivianPrizes,triviaQuestionType,triviaQuestionQuantity,triviaChoiceQuantity,triviaRightChoicesQuantity,triviaNwWinner,triviaPorcentaje,triviaSuscritos,triviasDesuscritos,valorUser,countViewInfoUser,nviewInfo
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07479916388280035,0.7016368966267758,-1.2446000054547286,1.5061236206614181,0.5071257490968304,-0.7989771715447042,-0.9920726153631045,-1.7083534252079913,-1.2090780451591059,0.8007263119867596,0.03212462831016182,0.02685823396841594,-0.025212511152183266
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5132446231674257,0.005568546798625156,1.2248444498125897,1.5061236206614181,-1.3436981527164182,-0.7989771715447042,-0.6346977539210639,-0.7888266521726615,-0.05832759022331284,-0.2877099979182147,0.03212462831016182,1.7754411746204897,2.4147079229300537
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1.5132446231674257,1.3977052464549267,-0.009877777821069515,-1.5304159371236992,-1.3436981527164182,-0.7989771715447042,-0.27732289247902336,0.6399764874668509,1.6763857821425843,-1.19474025617236,-1.574106787197927,-0.8824048951706625,-0.6351926196727425
1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.3636462954018247,0.7016368966267758,-1.2446000054547286,1.168730336463072,-0.4182862018097939,-0.7989771715447042,1.1521765532891393,-0.9302923095627124,-1.0544996258393726,-0.9226311786961163,-1.574106787197927,-0.8824048951706625,-0.6351926196727425
1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7940218935251129,0.7016368966267758,1.2248444498125897,-1.5304159371236992,1.4325377000034547,-0.7989771715447042,-1.3494474768051452,-1.1955404171690573,-0.6938166474266612,1.7077565702409045,-0.5032858435258678,-1.0222915304228284,-0.8385193225129289
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.07479916388280035,-0.6904998030295254,-1.2446000054547286,0.15655048386803253,-0.4182862018097939,0.33593358349038677,-1.3494474768051452,1.0266492843329893,0.7832660260730133,-1.1040372303469452,0.5675351001461915,-0.8824048951706625,-0.6351926196727425
0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5132446231674257,0.7016368966267758,-0.009877777821069515,1.5061236206614181,0.5071257490968304,0.33593358349038677,-0.6346977539210639,1.2199856827660585,2.3805763590435918,2.705489854320464,-1.0386963153618975,0.7262914102292454,-0.22853921399236965
0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,-1.3636462954018247,0.7016368966267758,1.2248444498125897,1.5061236206614181,0.5071257490968304,0.33593358349038677,1.5095514147311797,-0.859559480867687,-1.0373242459149576,-0.5598190753944583,0.5675351001461915,1.7754411746204897,0.38144089452818963
1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6444235657595121,-0.6904998030295254,-1.2446000054547286,-0.8556293687270066,-1.3436981527164182,-0.7989771715447042,-1.7068223382471857,0.27216577825271865,-0.26443214931629067,-0.5598190753944583,0.03212462831016182,0.02685823396841594,0.1781141916880031
1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6444235657595121,1.3977052464549267,-1.2446000054547286,0.4939437680663788,1.4325377000034547,-0.7989771715447042,-0.27732289247902336,-0.5766281660875854,-0.6766412675022464,-0.5598190753944583,1.1029455719822208,0.7262914102292454,0.1781141916880031
