cineytelevision,culinario,culturageneral,deporte,infantil,juvenil,musica,personalidades,series,vidanocturna,adultos,adultosjovenes,hombres,jovenes,mayores,mujeres,ninos,publicogeneral,bailar,cocinar,deporte,hobby,leer,maquillarse,oirmusica,salir,salirconamigos,salirdecompras,tiempoenfamilia,verpeliculas,verseries,yoga,baseball,dc,disney,futbol,hbo,hobby,marvel,masterchef,musicaurbana,netflix,nickelodion,oscar,rock,adidas,avilaburguer,balu,cinex,contigo,disney,hp,lamega,nestle,netflix,nike,paramo,polar,puma,valmy,victormoreno,audífonos,avión,balón,bebida,bicicleta,camisa,camión,caramelo,carro,casa,copas,cámara,disco,galleta,gato,guitarra,hamburguesa,helado,laptop,libro,licuadora,moneda,monitor,monumento,máscara,perro,pesas,piscina,pizza,porcentaje,regalos,reloj,ruta,sombrilla,spa,spotify,spray,tablet,teléfono,ticket,timbre,tortadecumpleaños,triviaMaxComp,trivianPrizes,triviaQuestionType,triviaQuestionQuantity,triviaChoiceQuantity,triviaRightChoicesQuantity,triviaNwWinner,triviaPorcentaje,triviaSuscritos,triviasDesuscritos,valorUser,countViewInfoUser,nviewInfo
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.0037603664904344,-0.7568936030963016,0.2960498262060538,-0.8119912464613053,0.4946105119782235,0.2220419179692863,-0.48697103945167036,0.019293302672441105,1.2805973154564791,-0.28807752320972696,-1.4343416650122724,-0.6517623304072482,-1.0092153098602474
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0.667720116370845,0.7977587506813131,1.2449274743023806,1.3786326198911372,0.8315386536527627,0.31784507732935624,-0.12678535938386692,0.019293302672441105,2.330267246158511,1.2719090645685776,0.6832887459310432,3.017677063306481,0.9021773224508272
1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0.30435479400969734,-0.7568936030963016,1.2449274743023806,-0.8119912464613053,1.505394937001841,-0.8956616078981994,0.2334003206839365,1.225124719700009,1.2805973154564791,-0.8947389740124009,-0.02258805771672872,-1.0886003534684063,-1.4870634679380161
0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1.076433430962664,-0.7568936030963016,1.2449274743023806,1.3786326198911372,1.1684667953273018,0.7649264876763505,-0.8471567195194738,-1.1865381143551268,0.23092738475444705,1.8785705153712513,1.389165549578815,-0.04018909812162663,1.3800254805285959
1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0037603664904344,-0.7568936030963016,0.2960498262060538,-0.0817832910104911,-0.5161739130453941,-0.06536756011092436,-1.5675280796550808,-1.1865381143551268,-0.8187425459475851,-0.04541294288865738,-0.02258805771672872,0.6587517387762265,-1.0092153098602474
0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42237585071259803,-0.09061402290589533,-1.6017054699865998,-0.8119912464613053,-1.5269583380690115,0.38171385023606974,-0.8471567195194738,1.225124719700009,-0.8187425459475851,-0.20141160166648783,-0.02258805771672872,-0.8264975396317115,-0.05351899370471014
1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,-0.42237585071259803,-0.5348004096994995,0.2960498262060538,0.648424664440323,1.505394937001841,0.36574665700939135,-0.8471567195194738,-1.1865381143551268,1.2805973154564791,0.821246272543734,0.6832887459310432,-1.2633355626928697,-0.05351899370471014
1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.30435479400969734,0.35357236388770885,-0.652827821890273,-0.8119912464613053,1.505394937001841,-0.9275959943515562,-0.8471567195194738,-1.1865381143551268,-0.8187425459475851,-0.9120721583210487,-0.02258805771672872,-0.5643947257950165,0.4243291643730585
1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0037603664904344,-0.7568936030963016,0.2960498262060538,-1.5421992019121193,-1.5269583380690115,1.6590893083703389,-1.2073423995872772,0.019293302672441105,0.23092738475444705,-0.3747434447529661,1.389165549578815,-0.6517623304072482,-1.4870634679380161
0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.42237585071259803,0.13147917049090677,0.2960498262060538,-0.0817832910104911,1.505394937001841,-0.789213653053677,0.59358600075174,1.225124719700009,-0.8187425459475851,-0.6347412093826835,0.6832887459310432,0.2219137157150683,0.9021773224508272
