cineytelevision,culinario,culturageneral,deporte,infantil,juvenil,musica,personalidades,series,vidanocturna,adultos,adultosjovenes,hombres,jovenes,mayores,mujeres,ninos,publicogeneral,bailar,cocinar,deporte,hobby,leer,maquillarse,oirmusica,salir,salirconamigos,salirdecompras,tiempoenfamilia,verpeliculas,verseries,yoga,baseball,dc,disney,futbol,hbo,hobby,marvel,masterchef,musicaurbana,netflix,nickelodion,oscar,rock,adidas,avilaburguer,balu,cinex,contigo,disney,hp,lamega,nestle,netflix,nike,paramo,polar,puma,valmy,victormoreno,audífonos,avión,balón,bebida,bicicleta,camisa,camión,caramelo,carro,casa,copas,cámara,disco,galleta,gato,guitarra,hamburguesa,helado,laptop,libro,licuadora,moneda,monitor,monumento,máscara,perro,pesas,piscina,pizza,porcentaje,regalos,reloj,ruta,sombrilla,spa,spotify,spray,tablet,teléfono,ticket,timbre,tortadecumpleaños,triviaMaxComp,trivianPrizes,triviaQuestionType,triviaQuestionQuantity,triviaChoiceQuantity,triviaRightChoicesQuantity,triviaNwWinner,triviaPorcentaje,triviaSuscritos,triviasDesuscritos,valorUser,countViewInfoUser,nviewInfo
1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44523051590140644,0.3838795327316981,-0.42083011484314914,0.45001211282700887,-0.15945492587380447,0.06030447349039032,-0.31625300777634147,-0.2148510874525072,-0.015411017535099833,0.030165010031299854,-0.3023497959861539,0.0096759477902579,-0.08307524784367609
0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22028573787504738,-0.044113255744554776,0.32944273902652715,0.3238433480092188,0.3969928428934228,0.3752098970252381,0.4344944423664954,0.2262554728762582,-0.009589962296886514,-0.36320174979493064,0.14520986813455544,0.009183511399889927,-0.21114146278023224
1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.23024677951009623,-0.04876442926517417,-0.03867379372866388,0.4721429298871447,-0.16729664322599322,-0.2882306521404899,-0.21578977527756288,0.2899281542244477,0.4125520535617766,-0.22823862302366288,-0.15797243228683033,-0.3705404868562959,-0.30652503536487596
1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.2213542281166572,0.3661100513160325,-0.40135022006562726,-0.08965491660324185,0.1234222817441151,-0.2620037891137477,0.12022372435927313,-0.031175022756125683,-0.13616586575880613,0.002519885733727764,0.29067036040101807,0.5859815422242192,0.3195777568194579
0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.006709652979296674,-0.2777139514375276,-0.44665358696667257,0.015705313046732484,0.13735386726237778,0.06400494747068823,-0.5703860773420607,-0.04236624214146211,-0.03325408992170118,-0.2893127457560908,-0.48199879270750834,0.010269694671047366,-0.23611429884839982
1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.0071044506875205925,0.43140921536424526,-0.04142494589631541,0.5057299385502649,-0.5038311787112179,-0.30873462413205066,0.26593583654477043,-0.09360129504750964,-0.07099407109458838,0.09576092496235994,0.17193937283839525,0.2827231198660172,0.0632850622087913
0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-0.40035037287269903,-0.040639479113508514,0.30350018573313337,0.10807276907033843,0.11315432297540055,0.3456633276318776,-0.17983567525446542,-0.3698903151950414,-0.31044242024459023,-0.3105357096759567,0.0010617068198387001,0.4314773141245343,0.23205268837023502
0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.006252637352728147,0.16685659127193253,0.34331429250651846,-0.3082079836119076,-0.44342255102318634,-0.2717177904154394,0.23405051539447663,0.33945259995562455,0.24719855191219697,0.3020553726721977,0.3014471978996271,-0.2296846410368062,-0.15109953818358962
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2102621700273319,-0.044531848563772194,-0.03531704465044089,0.11842376652185252,0.1239920216743565,0.37877028190146567,0.014832471826779686,0.46734606805940926,0.5750410023913266,-0.12931837728574583,-0.14426098157723943,-0.33837887772051334,-0.2799197419423508
1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2745863810455453,0.23674947669937768,0.2140714531738851,0.21043297634630057,0.25796542072515916,0.03719149192426456,0.07774412018078812,0.29547653077137914,0.5141548062872889,0.18834471496897862,0.09435717897018057,0.30433910748055326,0.4645524945124806
